"General","General"
"Module version","Module version"
"Documentation","Documentation"
"Didomi Console","Didomi Console"
"Didomi Support","Didomi Support"
"Didomi Consent Management","Didomi Consent Management"
"Enable module","Enable module"
"Consent Notice Javascript embed code","Consent Notice Javascript embed code"
"Display Consent Choice Link In Footer","Display Consent Choice Link In Footer"
"Consent Choice Link Label","Consent Choice Link Label"
"Condition Google Universal Analytics With A Vendor","Condition Google Universal Analytics With A Vendor"
"Vendor ID for Google Universal Analytics Conditioning","Vendor ID for Google Universal Analytics Conditioning"
