"General","General"
"Module version","Versión del módulo"
"Documentation","Documentación"
"Didomi Console","Consola Didomi"
"Didomi Support","Soporte Didomi"
"Didomi Consent Management","Gestión del consentimiento Didomi"
"Enable module","Activar módulo"
"Consent Notice Javascript embed code","Código Embed Javascript del banner de consentimiento"
"Display Consent Choice Link In Footer","Mostrar enlace de las opciones de consentimiento en el footer"
"Consent Choice Link Label","Etiqueta del enlace de las opciones de consentimiento"
"Condition Google Universal Analytics With Google Analytics Products Vendor","Configurar Google Universal Analytics con un proveedor"
"Consent Choices","Opciones de consentimiento"
